delta_t_s,768x432x30_size_byte,seg_len_s,768x432x30_bitrate,1024x576x30_size_byte,1024x576x30_bitrate,1280x720x30_size_byte,1280x720x30_bitrate,320x180x30_size_byte,320x180x30_bitrate,1280x720x60_size_byte,1280x720x60_bitrate,640x360x30_size_byte,640x360x30_bitrate,320x180x30_vmaf_score,640x360x30_vmaf_score,768x432x30_vmaf_score,1024x576x30_vmaf_score,1280x720x30_vmaf_score,1280x720x60_vmaf_score
00:02:08.080000,620283,4.000000000000014,1211081,954453,1863999,1497683,2870732,157488,305757,2147852,4328778,400322,759004,19.413080753138082,35.69846540084386,39.56486476793249,42.340814050632936,44.52896362869201,100.0
00:02:12.080000,584349,4.0,1211081,885062,1863999,1358081,2870732,143881,305757,2191074,4328778,369834,759004,14.69003882845189,36.3898835443038,40.0678483544304,42.42924481012657,44.24957109704643,100.0
00:02:16.080000,670129,4.0,1211081,1035329,1863999,1587293,2870732,163444,305757,2286761,4328778,412837,759004,8.041210627615067,16.448886835443037,17.19923172995781,22.074204135021095,25.919934852320658,100.0
00:02:20.080000,690253,4.0,1211081,1026056,1863999,1492672,2870732,179328,305757,2307787,4328778,401088,759004,12.679780334728035,22.429778823529425,26.577526512605026,29.964798613445378,30.350802352941177,100.0
00:02:24.080000,598727,4.0,1211081,943942,1863999,1439896,2870732,159914,305757,2143948,4328778,365161,759004,19.459495648535558,36.987882616033744,43.20938489451479,46.96990240506329,49.89464303797467,100.0
00:02:28.080000,487812,4.0,1211081,728962,1863999,1139291,2870732,131610,305757,1919781,4328778,321064,759004,31.453085104602494,42.22103202531646,46.64134940928268,49.06399202531648,50.565072109704666,100.0
00:02:32.080000,575591,4.0,1211081,938587,1863999,1499009,2870732,124011,305757,2147467,4328778,361565,759004,15.166503682008365,37.925419156118146,40.59751687763714,43.015813586497885,44.4536630801688,100.0
00:02:36.080000,605884,4.0,1211081,908665,1863999,1427478,2870732,144254,305757,2133870,4328778,378327,759004,17.30826284518829,36.16437510548525,40.276224388185625,43.46761531645567,45.7863781434599,100.0
00:02:40.080000,587506,4.0,1211081,930577,1863999,1402287,2870732,149991,305757,2146120,4328778,390680,759004,25.10882732217573,41.08869016877636,45.47991042194094,48.15020185654005,50.46884772151901,100.0
00:02:44.080000,566904,4.0,1211081,858450,1863999,1339500,2870732,147968,305757,2108491,4328778,345516,759004,31.40958251046025,43.27439362869198,46.17867430379744,47.97452928270042,49.82074527426159,100.0
00:02:48.080000,641452,4.0,1211081,1025005,1863999,1527299,2870732,161857,305757,2184571,4328778,384505,759004,23.17012707112972,42.17704565400845,46.54640599156117,49.43088025316457,51.92644843881855,100.0
00:02:52.080000,599477,4.0,1211081,886255,1863999,1343002,2870732,145210,305757,2121928,4328778,372093,759004,12.217918075313804,32.046561350211,35.965929324894496,38.26863122362868,40.82509573839662,100.0
00:02:56.080000,634861,4.0,1211081,973972,1863999,1587250,2870732,172312,305757,2219102,4328778,438281,759004,11.823499665271969,18.06185443037974,21.1626517721519,22.447191898734182,23.500042953586494,100.0
00:03:00.080000,630203,4.0,1211081,958994,1863999,1464921,2870732,167025,305757,2124950,4328778,398987,759004,11.858928033472807,24.459706793248934,27.462889198312233,28.683807510548533,30.10265464135021,100.0
00:03:04.080000,638661,4.0,1211081,982064,1863999,1483527,2870732,160064,305757,2246506,4328778,393804,759004,10.980858744769872,24.769607383966264,29.74058025316454,32.308887932489455,34.43036881856539,100.0
00:03:08.080000,538612,4.0,1211081,830730,1863999,1231456,2870732,137507,305757,1961140,4328778,331053,759004,30.695781799163193,40.70160621848738,44.63088042016806,46.81225210084032,48.719006218487394,100.0
00:03:12.080000,550906,4.0,1211081,846370,1863999,1364537,2870732,118421,305757,2155012,4328778,314107,759004,60.12920912133908,44.555381265822774,47.4679742616034,48.56612324894509,49.65354227848099,100.0
00:03:13.760000,391450,1.6799999999999784,1211081,598850,1863999,889412,2870732,112270,305757,1433658,4328778,255954,759004,60.12920912133908,44.555381265822774,47.4679742616034,48.56612324894509,49.65354227848099,100.0
